base_id;category;base_name;unit;price;dealer_price;weight_kg;qty_per_cycle;mold_id;gost_mark;article;mix_main_tpl;mix_face_tpl;item_type;amortization_per_cycle;new_name;new_price;new_dealer_price;new_article;default_warehouse_id
494;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Желтый;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-494;main_bor_mag;face_granite_yellow;product;0.00;Бордюр магистральный 1000х300х180 Гранит Желтый 2 сорт;550.0;0.0;PL-4942S;5
491;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Коричневый;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-491;main_bor_mag;face_granite_brown;product;0.00;Бордюр магистральный 1000х300х180 Гранит Коричневый 2 сорт;550.0;0.0;PL-4912S;5
490;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Красный;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-490;main_bor_mag;face_granite_red;product;0.00;Бордюр магистральный 1000х300х180 Гранит Красный 2 сорт;550.0;0.0;PL-4902S;5
495;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Оранжевый;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-495;main_bor_mag;face_granite_orange;product;0.00;Бордюр магистральный 1000х300х180 Гранит Оранжевый 2 сорт;550.0;0.0;PL-4952S;5
489;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Серый;шт;1030.00;906.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-489;main_bor_mag;face_granite_grey;product;0.00;Бордюр магистральный 1000х300х180 Гранит Серый 2 сорт;515.0;453.0;PL-4892S;5
492;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Черный;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-492;main_bor_mag;face_granite_black;product;0.00;Бордюр магистральный 1000х300х180 Гранит Черный 2 сорт;550.0;0.0;PL-4922S;5
484;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гладкий Оникс;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-484;main_bor_mag;face_mel_sm_onyx;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гладкий Оникс 2 сорт;550.0;0.0;PL-4842S;5
485;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гладкий Осень;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-485;main_bor_mag;face_mel_sm_autumn;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гладкий Осень 2 сорт;550.0;0.0;PL-4852S;5
486;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гладкий Рубин;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-486;main_bor_mag;face_mel_sm_ruby;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гладкий Рубин 2 сорт;550.0;0.0;PL-4862S;5
488;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гладкий Янтарь;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-488;main_bor_mag;face_mel_sm_amber;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гладкий Янтарь 2 сорт;550.0;0.0;PL-4882S;5
