id_2sort;category;name_2sort;weight;qty;mold_id;gost;article;base_id;base_weight;base_qty;base_mold;base_gost
632;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гранит Белая Эксперементальная 2 сорт;90.280000;1.0000;;;;621;90.280000;0.8000;8;
635;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гранит Желтая 2 сорт;135.160000;1.0000;;;;254;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023
543;Плитка меланж гладкая;Тротуарная плитка СИТИ-МИКС - 1.СМ.8 80мм Меланж Гладкая Осень 2 сорт;0.000000;1.0000;;;;365;151.110000;0.7500;14;ТУ 23.61.11-001-50829991-2023
564;Плитка меланж гладкая;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.4 40мм Меланж Гладкая Оникс 2 сорт;0.000000;1.0000;;;;172;90.280000;0.8000;10;ТУ 23.61.11-001-50829991-2023
568;Плитка меланж гладкая;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.6 60мм Меланж Гладкая Оникс 2 сорт;0.000000;1.0000;;;;196;135.160000;0.8000;11;ТУ 23.61.11-001-50829991-2023
569;Плитка меланж гладкая;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.6 60мм Меланж Гладкая Осень 2 сорт;0.000000;0.8000;11;;PL-1972S;197;135.160000;0.8000;11;ТУ 23.61.11-001-50829991-2023
570;Плитка меланж гладкая;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.6 60мм Меланж Гладкая Яшма 2 сорт;0.000000;1.0000;;;;199;135.160000;0.8000;11;ТУ 23.61.11-001-50829991-2023
608;Плитка меланж гладкая;Тротуарная плитка СИТИ-МИКС - 1.СМ.8 80мм Меланж Гранит Осень 2 сорт;151.110000;0.7500;14;;PL-3772S;377;151.110000;0.7500;14;ТУ 23.61.11-001-50829991-2023
545;Плитка меланж гранит;Тротуарная плитка СИТИ-МИКС - 1.СМ.8 80мм Меланж Гранит Оникс 2 сорт;0.000000;1.0000;;;;376;151.110000;0.7500;14;ТУ 23.61.11-001-50829991-2023
548;Плитка меланж гранит;Тротуарная плитка ПАРКЕТ - 1.ПР.8 80мм Меланж Гранит Оникс 2 сорт;0.000000;0.6800;17;;PL-4002S;400;183.600000;0.6800;17;ТУ 23.61.11-001-50829991-2023
549;Плитка меланж гранит;Тротуарная плитка ПАРКЕТ - 1.ПР.8 80мм Меланж Гранит Рубин 2 сорт;0.000000;1.0000;;;;402;183.600000;0.6800;17;ТУ 23.61.11-001-50829991-2023
578;Плитка меланж гранит;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Меланж Гранит Яшма 2 сорт;0.000000;1.0000;;;;283;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023
581;Плитка меланж гранит;Тротуарная плитка КЛАССИКО - 2.КО.6 60мм Меланж Гранит Оникс 2 сорт;0.000000;1.0000;;;;304;129.460000;0.7000;16;ТУ 23.61.11-001-50829991-2023
582;Плитка меланж гранит;Тротуарная плитка КЛАССИКО - 2.КО.6 60мм Меланж Гранит Яшма 2 сорт;0.000000;0.7000;16;;PL-3072S;307;129.460000;0.7000;16;ТУ 23.61.11-001-50829991-2023
587;Плитка меланж гранит;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.4 40мм Меланж Гранит Осень 2 сорт;0.000000;1.0000;;;;185;90.280000;0.8000;10;ТУ 23.61.11-001-50829991-2023
590;Плитка меланж гранит;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.6 60мм Меланж Гранит Осень 2 сорт;0.000000;1.0000;;;;209;135.160000;0.8000;11;ТУ 23.61.11-001-50829991-2023
609;Плитка меланж гранит;Бордюр дорожный 1000х300х150 Меланж Гранит Осень 2 сорт;100.000000;3.0000;21;;PL-4732S;473;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023
